[2025-04-05 14:58:02] DOMAIN: 2600.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: 2600.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: 2600.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: 2600.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: 2600.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: medpot.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: medpot.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: medpot.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: medpot.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: medpot.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: spankbang.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: spankbang.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: spankbang.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: spankbang.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: spankbang.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.sportsinteraction.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.sportsinteraction.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.sportsinteraction.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.sportsinteraction.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.sportsinteraction.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.hidemyass.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.hidemyass.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.hidemyass.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.hidemyass.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.hidemyass.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.carnivalcasino.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.carnivalcasino.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.carnivalcasino.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.carnivalcasino.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.carnivalcasino.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.gayscape.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.gayscape.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
